date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:12	21051/21051	---M--	200	added ('OK')	image/png	etag:%226161a632-523b%22	https://www.mansurtl.com/templates/dream/images/dist/products/img-6.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/products/img-6.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:12	196160/196160	---M--	200	added ('OK')	image/png	etag:%2261d028b6-2fe40%22	https://www.mansurtl.com/templates/dream/images/dist/products/img-4.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/products/img-4.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:13	113186/113186	---M--	200	added ('OK')	image/png	etag:%2261d028d2-1ba22%22	https://www.mansurtl.com/templates/dream/images/dist/products/img-7.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/products/img-7.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:13	236865/236865	---M--	200	added ('OK')	image/png	etag:%2261d028ea-39d41%22	https://www.mansurtl.com/templates/dream/images/dist/products/img-8.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/products/img-8.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:14	10800/10800	---M--	200	added ('OK')	image/png	etag:%226161bfee-2a30%22	https://www.mansurtl.com/templates/dream/images/dist/products/img-10.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/products/img-10.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:14	251564/251564	---M--	200	added ('OK')	image/png	etag:%2261d02925-3d6ac%22	https://www.mansurtl.com/templates/dream/images/dist/products/img-9.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/products/img-9.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:14	216144/216144	---M--	200	added ('OK')	image/png	etag:%2261d0290d-34c50%22	https://www.mansurtl.com/templates/dream/images/dist/products/img-12.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/products/img-12.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:14	39583/39583	---M--	200	added ('OK')	image/jpeg	etag:%2261bb6b7f-9a9f%22	https://www.mansurtl.com/templates/dream/images/dist/promos/img-1-820x516.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/promos/img-1-820x516.jpg	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:15	131590/131590	---M--	200	added ('OK')	image/png	etag:%2261d029e1-20206%22	https://www.mansurtl.com/templates/dream/images/dist/products/img-13.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/products/img-13.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:15	146940/146940	---M--	200	added ('OK')	image/jpeg	etag:%2261bb6c00-23dfc%22	https://www.mansurtl.com/templates/dream/images/dist/promos/img-2-820x516.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/promos/img-2-820x516.jpg	(from https://www.mansurtl.com/templates/dream/index.html)
